DATE,BAA10Y_PCH
6/25/19,0.42918
6/26/19,-0.8547
6/27/19,-0.43103
6/28/19,0
7/1/19,-0.8658
7/2/19,0
7/3/19,-1.31004
7/8/19,-1.32743
7/9/19,-0.44843
7/10/19,1.35135
7/11/19,0
7/12/19,0
7/15/19,0
7/16/19,-0.88889
7/17/19,0.44843
7/18/19,1.33929
7/19/19,-0.44053
7/22/19,-0.88496
7/23/19,-0.44643
7/24/19,-3.58744
7/25/19,-0.46512
7/26/19,-0.46729
7/29/19,0
7/30/19,0.46948
7/31/19,-0.46729
8/1/19,1.87793
8/2/19,0.46083
8/5/19,2.75229
8/6/19,0.44643
8/7/19,-0.88889
8/8/19,0.89686
8/9/19,-0.88889
8/12/19,0
8/13/19,-0.44843
8/14/19,0.45045
8/15/19,1.79372
8/16/19,-0.44053
8/19/19,1.32743
8/20/19,0.43668
8/21/19,-2.17391
8/22/19,0
8/23/19,0.88889
8/26/19,0
8/27/19,-0.44053
8/28/19,0
8/29/19,0.44248
8/30/19,-0.44053
9/4/19,0.4386
9/5/19,-0.43668
9/6/19,-0.87719
9/9/19,-1.32743
9/10/19,-0.44843
9/11/19,0
9/12/19,0
9/13/19,-0.45045
9/16/19,-0.45249
9/17/19,0.45455
9/18/19,-1.35747
9/19/19,-0.45872
9/20/19,0.92166
9/23/19,-0.91324
9/24/19,1.38249
9/25/19,0
9/26/19,-0.90909
9/27/19,0.45872
9/30/19,0.45662
10/1/19,0.90909
10/2/19,1.8018
10/3/19,1.32743
10/4/19,0
10/7/19,-0.43668
10/8/19,0.87719
10/9/19,-0.43478
10/10/19,-0.87336
10/11/19,-2.20264
10/16/19,0.45249
10/17/19,-0.45045
10/18/19,0
10/21/19,-0.90498
10/22/19,-0.91324
10/23/19,0.46083
10/24/19,-0.45872
10/25/19,-0.46083
10/28/19,0
10/29/19,-0.46296
10/30/19,0.93023
10/31/19,0.46083
11/1/19,-0.91743
11/4/19,0
11/5/19,-0.46296
11/6/19,-0.46512
11/7/19,-0.46729
11/8/19,-0.93897
11/13/19,0.47619
11/14/19,0.94787
11/15/19,0
11/18/19,0.46948
11/19/19,-0.46729
11/20/19,1.40845
11/21/19,-0.46296
11/22/19,-0.46512
11/25/19,-0.46729
11/26/19,-0.93897
11/27/19,-0.94787
12/2/19,1.44231
12/3/19,0
12/4/19,0
12/5/19,-0.94787
12/6/19,-0.95694
12/9/19,-0.96618
12/10/19,-1.95122
12/11/19,1.49254
12/12/19,-0.98039
12/13/19,0
12/16/19,-0.9901
12/17/19,-0.5
12/18/19,-0.50251
12/19/19,-1.0101
12/20/19,0
12/23/19,0
12/24/19,0.5102
12/27/19,-0.50761
12/30/19,0.5102
12/31/19,0.50761
1/3/20,0.50505
1/6/20,1.50754
1/7/20,0.49505
1/8/20,0.98522
1/9/20,-0.97561
1/10/20,-1.97044
1/13/20,0
1/14/20,0
1/15/20,1.00503
1/16/20,-0.49751
1/17/20,-1
1/22/20,0
1/23/20,0.50761
1/24/20,0
1/27/20,3.0303
1/28/20,0
1/29/20,0.4902
1/30/20,1.46341
1/31/20,2.40385
2/3/20,-1.40845
2/4/20,-0.47619
2/5/20,-0.95694
2/6/20,-0.96618
2/7/20,0
2/10/20,0.4878
2/11/20,-0.48544
2/12/20,0.4878
2/13/20,-0.48544
2/14/20,-0.4878
2/19/20,0
2/20/20,0
2/21/20,1.95122
2/24/20,1.91388
2/25/20,2.8169
2/26/20,0.45662
2/27/20,3.18182
2/28/20,4.84581
3/2/20,2.52101
3/3/20,1.63934
3/4/20,-0.40323
3/5/20,2.02429
3/6/20,1.19048
3/9/20,14.90196
3/10/20,0
3/11/20,2.04778
3/12/20,7.02341
3/13/20,3.125
3/16/20,2.42424
3/17/20,3.25444
3/18/20,9.16905
3/19/20,5.24934
3/20/20,5.48628
3/23/20,1.89125
3/24/20,-2.78422
3/25/20,-1.43198
3/26/20,-2.17918
3/27/20,-1.48515
3/30/20,-2.26131
3/31/20,1.02828
4/1/20,1.01781
4/2/20,-1.25945
4/3/20,0
4/6/20,-0.2551
4/7/20,-3.06905
4/8/20,-1.05541
4/9/20,-3.73333
4/14/20,-1.46628
4/15/20,-0.89286
4/16/20,-1.5015
4/17/20,-0.30488
4/20/20,0.30581
4/21/20,0.30488
4/22/20,0.30395
4/23/20,-1.21212
4/24/20,-0.30675
4/27/20,-0.30769
4/28/20,0.30864
4/29/20,-0.30769
4/30/20,-0.30864
5/1/20,0.6192
5/4/20,0.92308
5/5/20,0
5/6/20,0.91463
5/7/20,0.90634
5/8/20,0.8982
5/11/20,1.18694
5/12/20,-0.29326
5/13/20,0.88235
5/14/20,-0.58309
5/15/20,0
5/18/20,-0.87977
5/19/20,-2.36686
5/20/20,-1.81818
5/21/20,-1.85185
5/22/20,0
5/27/20,-0.95541
5/28/20,-0.32154
5/29/20,-0.64516
6/1/20,0.64935
6/2/20,-0.64516
6/3/20,-1.94805
6/4/20,-0.99338
6/5/20,-4.34783
6/8/20,-1.74825
6/9/20,-0.35587
6/10/20,2.14286
6/11/20,1.74825
6/12/20,0
